Based_Year,City,Total,Men_Tot,Women_Tot,Fir_Ord_Dis_Tot,Fir_Ord_Dis_Men,Fir_Ord_Dis_Wom,Sec_Ord_Dis_Tot,Sec_Ord_Dis_Men,Sec_Ord_Dis_Wom,Thi_Ord_Dis_Tot,Thi_Ord_Dis_Men,Thi_Ord_Dis_Wom,Fou_Ord_Dis_Tot,Fou_Ord_Dis_Men,Fou_Ord_Dis_Wom,Fif_Ord_Dis_Tot,Fif_Ord_Dis_Men,Fif_Ord_Dis_Wom,Six_Ord_Dis_Tot,Six_Ord_Dis_Men,Six_Ord_Dis_Wom
2017,가평군,5250,3070,2175,676,392,284,826,477,349,933,592,341,730,393,337,1025,550,475,1060,671,389
2017,고양시,38919,22454,16465,3548,2076,1472,5297,3076,2221,6265,3811,2454,5560,2787,2773,8551,4571,3980,9698,6133,3565
2017,과천시,1863,1030,833,162,94,68,274,162,112,312,170,142,258,133,125,424,206,218,433,265,168
2017,광명시,13832,8275,5557,1047,601,446,1920,1131,789,2321,1445,876,2049,1106,943,2902,1658,1244,3593,2334,1259
2017,광주시,14759,9061,5698,1342,779,563,1870,1107,763,2325,1469,856,2060,1158,902,3047,1733,1314,4115,2815,1300
2017,구리시,8613,5139,3474,591,375,216,1086,663,423,1441,915,526,1163,591,572,1941,1062,879,2391,1533,858
2017,군포시,11095,6513,4582,881,532,349,1414,806,608,1828,1102,726,1659,884,775,2412,1326,1086,2901,1863,1038
2017,김포시,15541,9440,6101,1264,718,546,1939,1168,771,2562,1604,958,2293,1263,1030,3460,1957,1503,4023,2730,1293
2017,남양주시,29611,17783,11828,2129,1297,832,3661,2227,1434,4847,2940,1907,4243,2319,1924,6455,3570,2885,8276,5430,2846
2017,동두천시,6102,3530,2572,499,296,203,854,490,364,1206,751,455,887,471,416,1261,652,609,1395,870,525
2017,부천시,36426,22124,14302,2820,1697,1123,4851,2841,2010,6414,3948,2466,5484,3083,2401,7411,4174,3237,9446,6381,3065
2017,성남시,35312,20600,14712,3166,1804,1362,4923,2913,2010,5971,3590,2381,5248,2759,2489,7104,3804,3300,8900,5730,3170
2017,수원시,41908,24861,17047,3477,1986,1491,5591,3203,2388,7062,4283,2779,5770,3072,2698,8510,4742,3768,11498,7575,3923
2017,시흥시,17641,11151,6490,1200,712,488,2189,1315,874,3100,1946,1154,2485,1499,986,3775,2238,1537,4892,3441,1451
2017,안산시,32009,19940,12069,2378,1396,982,4046,2370,1676,5288,3369,1919,4312,2566,1746,7062,4134,2928,8923,6105,2818
2017,안성시,10527,6344,4183,841,511,330,1426,841,585,1855,1195,660,1578,818,760,2141,1176,965,2686,1803,883
2017,안양시,21286,12503,8783,1524,929,595,2858,1681,1177,3446,2046,1400,3012,1545,1467,4736,2568,2168,5710,3734,1976
2017,양주시,11220,6619,4601,942,547,395,1524,832,692,2021,1212,809,1649,915,734,2279,1281,998,2805,1832,973
2017,양평군,7463,4327,3136,788,452,336,1030,602,428,1204,754,450,1080,540,540,1600,851,749,1761,1128,633
2017,여주시,7130,4177,2953,728,447,281,926,546,380,1328,782,546,1012,519,493,1487,815,672,1649,1068,581
2017,연천군,3334,1932,1402,278,180,98,404,243,161,588,368,220,532,275,257,754,387,367,778,479,299
2017,오산시,8103,4917,3186,636,380,256,1184,656,528,1436,859,577,1091,619,472,1583,902,681,2173,1501,672
2017,용인시,33071,19171,13900,2733,1505,1228,4625,2662,1963,5718,3250,2468,4473,2380,2093,7246,3969,3277,8276,5405,2871
2017,의왕시,6072,3503,2569,434,237,197,698,414,284,978,573,405,949,455,494,1385,783,602,1628,1041,587
2017,의정부시,20290,11751,8539,1648,954,694,2790,1602,1188,3421,2085,1336,2928,1531,1397,4277,2231,2046,5226,3348,1878
2017,이천시,10220,6127,4093,951,594,357,1426,823,603,1883,1138,745,1457,763,694,2031,1141,890,2472,1668,804
2017,파주시,19494,11406,8088,1629,942,687,2587,1519,1068,3399,2076,1323,3057,1573,1484,4068,2195,1873,4754,3101,1653
2017,평택시,22898,13615,9283,1501,842,659,2874,1612,1262,3761,2333,1428,3243,1764,1479,4950,2763,2187,6569,4301,2268
2017,포천시,9948,6126,3822,795,487,308,1319,783,536,1675,1106,569,1544,878,666,2073,1180,893,2542,1692,850
2017,하남시,9103,5419,3684,738,450,288,1125,695,430,1461,882,579,1277,674,603,2004,1090,914,2498,1628,870
2017,화성시,24219,14941,9278,1901,1127,774,3032,1801,1231,4065,2551,1514,3316,1912,1404,5008,2923,2085,6897,4627,2270
2016,가평군,5207,3047,2160,715,414,301,817,467,350,945,601,344,705,371,334,990,519,471,1035,675,360
2016,고양시,38215,22066,16149,3514,2060,1454,5176,2968,2208,6176,3750,2426,5436,2740,2696,8344,4474,3870,9569,6074,3495
2016,과천시,2070,1151,919,170,100,70,308,182,126,347,190,157,283,143,140,457,221,236,505,315,190
2016,광명시,13846,8306,5540,1066,622,444,1914,1117,797,2315,1453,862,2055,1106,949,2898,1665,1233,3598,2343,1255
2016,광주시,14129,8739,5390,1293,762,531,1794,1070,724,2214,1398,816,1951,1104,847,2913,1661,1252,3964,2744,1220
2016,구리시,8320,4967,3353,558,348,210,1072,649,423,1418,898,520,1122,591,531,1820,984,836,2330,1497,833
2016,군포시,10990,6415,4575,900,534,366,1379,780,599,1825,1094,731,1623,849,774,2384,1302,1082,2879,1856,1023
2016,김포시,14579,8866,5713,1210,696,514,1815,1120,695,2430,1519,911,2134,1152,982,3185,1787,1398,3805,2592,1213
2016,남양주시,28859,17322,11537,2095,1264,831,3545,2151,1394,4744,2889,1855,4110,2232,1878,6234,3452,2782,8131,5334,2797
2016,동두천시,6010,3493,2517,486,286,200,840,478,362,1189,739,450,891,479,412,1232,650,582,1372,861,511
2016,부천시,35860,21813,14047,2776,1680,1096,4739,2772,1967,6350,3930,2420,5412,3013,2399,7235,4066,3169,9348,6352,2996
2016,성남시,35156,20497,14659,3173,1805,1368,4829,2854,1975,5971,3606,2365,5216,2737,2479,7065,3745,3320,8902,5750,3152
2016,수원시,41411,24576,16835,3393,1943,1450,5507,3166,2341,6954,4199,2755,5767,3079,2688,8393,4655,3738,11397,7534,3863
2016,시흥시,16901,10709,6192,1159,685,474,2030,1215,815,3016,1898,1118,2415,1450,965,3585,2132,1453,4696,3329,1367
2016,안산시,31916,19877,12039,2410,1410,1000,3984,2324,1660,5263,3348,1915,4334,2577,1757,7022,4110,2912,8903,6108,2795
2016,안성시,10256,6211,4045,822,506,316,1411,840,571,1798,1159,639,1524,784,740,2029,1115,914,2672,1807,865
2016,안양시,21458,12623,8835,1512,911,601,2853,1688,1165,3500,2089,1411,3085,1588,1497,4790,2585,2205,5718,3762,1956
2016,양주시,10618,6285,4333,892,526,366,1437,769,668,1932,1170,762,1530,839,691,2154,1210,944,2673,1771,902
2016,양평군,7311,4233,3078,793,458,335,1012,586,426,1205,756,449,1049,519,530,1569,835,734,1683,1079,604
2016,여주시,7046,4132,2914,741,458,283,918,540,378,1317,772,545,990,513,477,1470,801,669,1610,1048,562
2016,연천군,3328,1936,1392,287,183,104,425,258,167,602,380,222,527,269,258,725,372,353,762,474,288
2016,오산시,7867,4805,3062,612,366,246,1156,651,505,1409,854,555,1063,598,465,1513,876,637,2114,1460,654
2016,용인시,32279,18653,13626,2695,1482,1213,4530,2582,1948,5560,3164,2396,4311,2262,2049,7050,3840,3210,8133,5323,2810
2016,의왕시,5997,3461,2536,440,243,197,737,429,308,957,559,398,929,448,481,1344,760,584,1590,1022,568
2016,의정부시,19867,11523,8344,1597,926,671,2702,1532,1170,3378,2061,1317,2834,1468,1366,4222,2214,2008,5134,3322,1812
2016,이천시,10181,6117,4064,942,579,363,1426,831,595,1868,1133,735,1450,752,698,2039,1147,892,2456,1675,781
2016,파주시,19019,11094,7925,1585,916,669,2552,1487,1065,3324,2007,1317,2997,1533,1464,3909,2123,1786,4652,3028,1624
2016,평택시,22426,13362,9064,1489,833,656,2818,1583,1235,3714,2319,1395,3150,1723,1427,4845,2706,2139,6410,4198,2212
2016,포천시,9845,6055,3790,776,465,311,1299,774,525,1677,1111,566,1547,863,684,2010,1145,865,2536,1697,839
2016,하남시,8533,5060,3473,696,423,273,1063,648,415,1373,835,538,1179,621,558,1874,998,876,2348,1535,813
2016,화성시,22937,14145,8792,1800,1067,733,2860,1683,1177,3895,2429,1466,3142,1773,1369,4737,2793,1944,6503,4400,2103
2015,가평군,5211,3037,2174,722,417,305,849,495,354,949,590,359,685,355,330,968,494,474,1038,686,352
2015,고양시,37366,21549,15817,3546,2051,1495,5132,2930,2202,6075,3725,2350,5240,2593,2647,7993,4276,3717,9380,5974,3406
2015,과천시,2152,1206,946,178,107,71,314,183,131,365,195,170,284,140,144,487,239,248,524,342,182
2015,광명시,13889,8320,5569,1071,631,440,1929,1128,801,2354,1472,882,2069,1093,976,2871,1642,1229,3595,2354,1241
2015,광주시,13599,8418,5181,1269,758,511,1775,1042,733,2154,1358,796,1884,1073,811,2754,1579,1175,3763,2608,1155
2015,구리시,7873,4697,3176,536,324,212,1029,624,405,1341,851,490,1080,573,507,1679,908,771,2208,1417,791
2015,군포시,10957,6420,4537,896,525,371,1394,783,611,1816,1081,735,1589,836,753,2362,1316,1046,2900,1879,1021
2015,김포시,14093,8587,5506,1162,674,488,1779,1099,680,2380,1491,889,2068,1094,974,3040,1713,1327,3664,2516,1148
2015,남양주시,28429,17095,11334,2128,1273,855,3476,2114,1362,4705,2880,1825,4042,2194,1848,6060,3337,2723,8018,5297,2721
2015,동두천시,5820,3370,2450,472,281,191,840,471,369,1150,710,440,885,463,422,1171,631,540,1302,814,488
2015,부천시,35204,21409,13795,2782,1686,1096,4608,2698,1910,6206,3850,2356,5310,2926,2384,7098,3994,3104,9200,6255,2945
2015,성남시,35150,20485,14665,3213,1828,1385,4771,2814,1957,5911,3575,2336,5110,2630,2480,7111,3792,3319,9034,5846,3188
2015,수원시,40693,24185,16508,3327,1908,1419,5328,3049,2279,6853,4147,2706,5682,3039,2643,8223,4547,3676,11280,7495,3785
2015,시흥시,16548,10531,6017,1141,681,460,1958,1179,779,2975,1873,1102,2363,1408,955,3465,2089,1376,4646,3301,1345
2015,안산시,32013,20025,11988,2439,1420,1019,3902,2284,1618,5354,3424,1930,4366,2589,1777,7027,4123,2904,8925,6185,2740
2015,안성시,10089,6118,3971,818,508,310,1400,825,575,1757,1137,620,1490,771,719,2018,1104,914,2606,1773,833
2015,안양시,21466,12650,8816,1529,917,612,2829,1671,1158,3503,2098,1405,3157,1606,1551,4721,2573,2148,5727,3785,1942
2015,양주시,10529,6217,4312,853,507,346,1460,790,670,1943,1166,777,1511,817,694,2117,1196,921,2645,1741,904
2015,양평군,7168,4153,3015,769,433,336,1016,593,423,1176,742,434,1039,514,525,1524,812,712,1644,1059,585
2015,여주시,6961,4059,2902,737,449,288,888,527,361,1312,760,552,994,506,488,1458,793,665,1572,1024,548
2015,연천군,3368,1976,1392,328,209,119,447,274,173,605,382,223,542,278,264,697,363,334,749,470,279
2015,오산시,7790,4740,3050,616,352,264,1168,651,517,1391,855,536,1061,584,477,1458,840,618,2096,1458,638
2015,용인시,31444,18196,13248,2587,1436,1151,4362,2490,1872,5514,3134,2380,4141,2159,1982,6890,3789,3101,7950,5188,2762
2015,의왕시,5950,3437,2513,424,235,189,711,411,300,985,579,406,913,432,481,1345,770,575,1572,1010,562
2015,의정부시,19417,11280,8137,1581,926,655,2635,1498,1137,3321,2034,1287,2781,1412,1369,4100,2154,1946,4999,3256,1743
2015,이천시,10126,6082,4044,969,583,386,1411,814,597,1880,1153,727,1445,748,697,2014,1139,875,2407,1645,762
2015,파주시,18565,10854,7711,1598,927,671,2457,1435,1022,3254,1982,1272,2940,1475,1465,3781,2072,1709,4535,2963,1572
2015,평택시,22173,13192,8981,1509,838,671,2793,1546,1247,3696,2314,1382,3133,1695,1438,4763,2656,2107,6279,4143,2136
2015,포천시,9737,6006,3731,773,462,311,1289,775,514,1691,1121,570,1502,836,666,1980,1141,839,2502,1671,831
2015,하남시,7375,4421,2954,597,357,240,938,594,344,1201,756,445,1028,542,486,1613,854,759,1998,1318,680
2015,화성시,21727,13402,8325,1698,1009,689,2703,1589,1114,3702,2306,1396,2993,1681,1312,4483,2655,1828,6148,4162,1986
2014,가평군,5167,3029,2138,742,423,319,838,488,350,926,582,344,681,357,324,946,484,462,1034,695,339
2014,고양시,36584,21080,15504,3527,2043,1484,4954,2811,2143,5941,3656,2285,5188,2554,2634,7872,4183,3689,9102,5833,3269
2014,과천시,2166,1211,955,188,111,77,320,187,133,353,194,159,299,144,155,477,228,249,529,347,182
2014,광명시,14005,8356,5649,1097,637,460,1932,1130,802,2337,1472,865,2096,1086,1010,2921,1650,1271,3622,2381,1241
2014,광주시,13191,8151,5040,1251,747,504,1676,987,689,2109,1334,775,1824,1045,779,2729,1541,1188,3602,2497,1105
2014,구리시,7938,4748,3190,525,317,208,1031,629,402,1373,874,499,1075,570,505,1709,925,784,2225,1433,792
2014,군포시,10996,6429,4567,916,540,376,1387,772,615,1812,1076,736,1588,832,756,2385,1317,1068,2908,1892,1016
2014,김포시,13791,8347,5444,1164,673,491,1754,1079,675,2323,1439,884,2046,1088,958,2968,1646,1322,3536,2422,1114
2014,남양주시,27721,16670,11051,2097,1257,840,3385,2034,1351,4616,2830,1786,3969,2153,1816,5931,3258,2673,7723,5138,2585
2014,동두천시,5716,3309,2407,464,280,184,838,469,369,1117,689,428,892,468,424,1143,618,525,1262,785,477
2014,부천시,35345,21542,13803,2776,1682,1094,4578,2686,1892,6263,3898,2365,5364,2974,2390,7161,4042,3119,9203,6260,2943
2014,성남시,35479,20617,14862,3199,1810,1389,4789,2788,2001,5935,3571,2364,5198,2645,2553,7205,3858,3347,9153,5945,3208
2014,수원시,40406,24003,16403,3290,1884,1406,5259,3013,2246,6794,4088,2706,5664,3022,2642,8158,4515,3643,11241,7481,3760
2014,시흥시,16516,10484,6032,1132,675,457,1933,1155,778,2961,1882,1079,2391,1413,978,3490,2082,1408,4609,3277,1332
2014,안산시,32281,20229,12052,2438,1413,1025,3925,2302,1623,5384,3449,1935,4447,2655,1792,7135,4191,2944,8952,6219,2733
2014,안성시,10096,6145,3951,822,503,319,1417,836,581,1745,1148,597,1473,769,704,2039,1122,917,2600,1767,833
2014,안양시,21558,12681,8877,1538,922,616,2789,1639,1150,3543,2119,1424,3216,1636,1580,4749,2576,2173,5723,3789,1934
2014,양주시,10339,6119,4220,817,479,338,1460,784,676,1915,1160,755,1486,821,665,2103,1184,919,2558,1691,867
2014,양평군,6970,4041,2929,754,428,326,990,580,410,1142,717,425,1023,513,510,1468,780,688,1593,1023,570
2014,여주시,6933,4017,2916,742,444,298,895,519,376,1280,737,543,1000,504,496,1464,808,656,1552,1005,547
2014,연천군,3361,1971,1390,331,207,124,439,273,166,600,385,215,546,277,269,694,357,337,751,472,279
2014,오산시,7726,4703,3023,620,358,262,1160,641,519,1369,836,533,1056,598,458,1454,838,616,2067,1432,635
2014,용인시,31157,18025,13132,2533,1414,1119,4306,2437,1869,5507,3137,2370,4162,2162,2000,6775,3727,3048,7874,5148,2726
2014,의왕시,5998,3452,2546,430,238,192,721,402,319,1000,590,410,933,443,490,1338,760,578,1576,1019,557
2014,의정부시,19160,11107,8053,1597,928,669,2604,1491,1113,3219,1962,1257,2762,1396,1366,4089,2159,1930,4889,3171,1718
2014,이천시,10163,6084,4079,988,586,402,1405,805,600,1876,1142,734,1460,773,687,2034,1140,894,2400,1638,762
2014,파주시,18280,10679,7601,1583,911,672,2420,1420,1000,3188,1928,1260,2894,1453,1441,3744,2058,1686,4451,2909,1542
2014,평택시,22116,13135,8981,1514,854,660,2753,1532,1221,3725,2331,1394,3154,1685,1469,4791,2658,2133,6179,4075,2104
2014,포천시,9712,5980,3732,791,475,316,1284,782,502,1697,1107,590,1509,829,680,1954,1129,825,2477,1658,819
2014,하남시,6882,4135,2747,569,336,233,843,535,308,1144,729,415,974,517,457,1521,819,702,1831,1199,632
2014,화성시,20577,12678,7899,1612,947,665,2588,1524,1064,3444,2160,1284,2880,1603,1277,4259,2507,1752,5794,3937,1857
2013,가평군,5184,3057,2127,755,438,317,851,501,350,927,581,346,697,365,332,948,489,459,1006,683,323
2013,고양시,36132,20755,15377,3555,2060,1495,4880,2747,2133,5899,3598,2301,5198,2553,2645,7723,4089,3634,8877,5708,3169
2013,과천시,2154,1202,952,175,104,71,326,189,137,357,202,155,298,142,156,469,228,241,529,337,192
2013,광명시,14213,8480,5733,1117,654,463,1932,1113,819,2384,1502,882,2154,1107,1047,2978,1693,1285,3648,2411,1237
2013,광주시,12844,7945,4899,1246,735,511,1606,945,661,2062,1295,767,1767,1009,758,2675,1530,1145,3488,2431,1057
2013,구리시,8050,4820,3230,543,326,217,1026,614,412,1389,886,503,1118,583,535,1734,942,792,2240,1469,771
2013,군포시,10980,6400,4580,903,528,375,1394,774,620,1821,1074,747,1626,841,785,2395,1316,1079,2841,1867,974
2013,김포시,13211,8009,5202,1157,677,480,1648,1000,648,2202,1377,825,1977,1057,920,2880,1605,1275,3347,2293,1054
2013,남양주시,27048,16257,10791,2048,1228,820,3356,2020,1336,4515,2754,1761,3903,2100,1803,5795,3216,2579,7431,4939,2492
2013,동두천시,5643,3289,2354,462,278,184,846,473,373,1120,702,418,877,471,406,1111,604,507,1227,761,466
2013,부천시,35604,21753,13851,2784,1688,1096,4631,2726,1905,6269,3912,2357,5470,3017,2453,7228,4097,3131,9222,6313,2909
2013,성남시,35921,20921,15000,3243,1857,1386,4890,2834,2056,5993,3609,2384,5306,2719,2587,7239,3871,3368,9250,6031,3219
2013,수원시,39856,23597,16259,3245,1857,1388,5152,2946,2206,6717,4039,2678,5613,3002,2611,8070,4448,3622,11059,7305,3754
2013,시흥시,16583,10481,6102,1153,683,470,1954,1148,806,2981,1893,1088,2429,1431,998,3497,2061,1436,4569,3265,1304
2013,안산시,32507,20368,12139,2436,1408,1028,3941,2306,1635,5437,3492,1945,4487,2690,1797,7252,4246,3006,8954,6226,2728
2013,안성시,10100,6132,3968,846,525,321,1429,824,605,1740,1146,594,1477,769,708,2060,1131,929,2548,1737,811
2013,안양시,21955,12916,9039,1593,939,654,2846,1682,1164,3588,2165,1423,3274,1659,1615,4851,2610,2241,5803,3861,1942
2013,양주시,10214,6043,4171,814,470,344,1457,775,682,1886,1155,731,1454,797,657,2105,1177,928,2498,1669,829
2013,양평군,6982,4059,2923,759,430,329,1000,585,415,1162,729,433,1060,538,522,1459,779,680,1542,998,544
2013,여주시,7022,4089,2933,741,437,304,917,542,375,1318,760,558,1021,521,500,1476,808,668,1549,1021,528
2013,연천군,3358,1994,1364,325,206,119,456,291,165,598,382,216,560,288,272,693,370,323,726,457,269
2013,오산시,7646,4645,3001,609,363,246,1166,634,532,1331,810,521,1066,600,466,1450,841,609,2024,1397,627
2013,용인시,30814,17843,12971,2512,1411,1101,4279,2413,1866,5380,3100,2280,4137,2160,1977,6714,3657,3057,7792,5102,2690
2013,의왕시,6073,3513,2560,446,244,202,736,419,317,1002,577,425,970,468,502,1341,773,568,1578,1032,546
2013,의정부시,19084,11071,8013,1606,925,681,2607,1489,1118,3232,1984,1248,2778,1397,1381,4079,2152,1927,4782,3124,1658
2013,이천시,10185,6093,4092,1017,599,418,1403,812,591,1878,1145,733,1492,792,700,2047,1142,905,2348,1603,745
2013,파주시,18134,10606,7528,1570,903,667,2419,1418,1001,3171,1941,1230,2891,1460,1431,3762,2062,1700,4321,2822,1499
2013,평택시,22039,13087,8952,1512,848,664,2711,1514,1197,3675,2301,1374,3169,1687,1482,4856,2702,2154,6116,4035,2081
2013,포천시,9697,5972,3725,783,473,310,1308,791,517,1685,1098,587,1521,840,681,1947,1121,826,2453,1649,804
2013,하남시,6788,4066,2722,552,317,235,838,526,312,1128,724,404,956,506,450,1525,817,708,1789,1176,613
2013,화성시,20443,12572,7871,1600,937,663,2622,1544,1078,3458,2162,1296,2840,1577,1263,4238,2480,1758,5685,3872,1813
2012,가평군,5176,3061,2115,774,457,317,868,515,353,899,564,335,676,348,328,969,503,466,990,674,316
2012,고양시,35677,20483,15194,3538,2031,1507,4845,2731,2114,5880,3587,2293,5182,2554,2628,7562,3960,3602,8670,5620,3050
2012,과천시,2225,1241,984,182,105,77,336,197,139,383,221,162,302,134,168,485,239,246,537,345,192
2012,광명시,14416,8564,5852,1138,656,482,2011,1155,856,2422,1521,901,2207,1127,1080,2989,1698,1291,3649,2407,1242
2012,광주시,12604,7793,4811,1258,722,536,1605,950,655,2054,1301,753,1761,1004,757,2585,1481,1104,3341,2335,1006
2012,구리시,8207,4941,3266,590,349,241,1062,639,423,1410,895,515,1155,606,549,1743,961,782,2247,1491,756
2012,군포시,11054,6424,4630,916,524,392,1393,769,624,1836,1097,739,1651,847,804,2416,1328,1088,2842,1859,983
2012,김포시,12712,7730,4982,1150,674,476,1677,1011,666,2080,1310,770,1936,1058,878,2729,1526,1203,3140,2151,989
2012,남양주시,26668,16052,10616,2048,1227,821,3289,1976,1313,4527,2793,1734,3840,2079,1761,5724,3149,2575,7240,4828,2412
2012,동두천시,5669,3295,2374,467,276,191,872,489,383,1094,692,402,879,464,415,1128,603,525,1229,771,458
2012,부천시,35761,21917,13844,2812,1710,1102,4665,2751,1914,6276,3927,2349,5612,3104,2508,7206,4115,3091,9190,6310,2880
2012,성남시,36168,21079,15089,3267,1873,1394,4937,2854,2083,6025,3634,2391,5413,2770,2643,7356,3923,3433,9170,6025,3145
2012,수원시,39554,23387,16167,3279,1846,1433,5190,2962,2228,6654,4032,2622,5584,2983,2601,7945,4361,3584,10902,7203,3699
2012,시흥시,16795,10604,6191,1179,708,471,2011,1179,832,2973,1883,1090,2442,1432,1010,3550,2096,1454,4640,3306,1334
2012,안산시,32513,20404,12109,2405,1386,1019,3937,2312,1625,5481,3544,1937,4565,2704,1861,7286,4284,3002,8839,6174,2665
2012,안성시,10071,6134,3937,870,531,339,1417,827,590,1713,1127,586,1511,791,720,2054,1134,920,2506,1724,782
2012,안양시,22172,13029,9143,1637,962,675,2874,1685,1189,3667,2211,1456,3310,1688,1622,4934,2639,2295,5750,3844,1906
2012,양주시,10299,6143,4156,843,495,348,1483,789,694,1903,1195,708,1491,816,675,2112,1185,927,2467,1663,804
2012,양평군,6907,4013,2894,775,439,336,981,573,408,1145,719,426,1062,541,521,1420,760,660,1524,981,543
2012,여주시,7012,4094,2918,741,430,311,927,549,378,1295,763,532,1053,536,517,1462,793,669,1534,1023,511
2012,연천군,3394,1999,1395,338,215,123,457,282,175,614,388,226,582,292,290,697,372,325,706,450,256
2012,오산시,7571,4613,2958,632,373,259,1136,616,520,1293,797,496,1069,604,465,1446,849,597,1995,1374,621
2012,용인시,30575,17726,12849,2554,1415,1139,4309,2438,1871,5297,3078,2219,4130,2166,1964,6675,3610,3065,7610,5019,2591
2012,의왕시,5986,3461,2525,433,234,199,712,397,315,1020,587,433,973,467,506,1321,764,557,1527,1012,515
2012,의정부시,19047,11083,7964,1615,941,674,2635,1516,1119,3221,2007,1214,2850,1436,1414,4028,2103,1925,4698,3080,1618
2012,이천시,10259,6131,4128,1063,619,444,1414,799,615,1887,1142,745,1516,809,707,2074,1167,907,2305,1595,710
2012,파주시,18014,10562,7452,1579,912,667,2437,1418,1019,3172,1962,1210,2908,1468,1440,3702,2040,1662,4216,2762,1454
2012,평택시,22059,13099,8960,1512,848,664,2731,1519,1212,3684,2295,1389,3186,1710,1476,4902,2720,2182,6044,4007,2037
2012,포천시,9715,5999,3716,786,482,304,1318,789,529,1685,1095,590,1529,849,680,1986,1158,828,2411,1626,785
2012,하남시,6859,4112,2747,562,324,238,870,536,334,1117,721,396,959,512,447,1560,822,738,1791,1197,594
2012,화성시,20380,12470,7910,1625,953,672,2620,1548,1072,3474,2160,1314,2856,1562,1294,4181,2427,1754,5624,3820,1804

